Reported_Date,City,is_newyork,Population,Data Source,New_Cases,mavg_7day_new_cases,new_cases_per_100K,mavg_7day_per_100k_new_cases,daily_temp,daily_humidity,mavg_7_temp,mavg_7_humidity,mavg_15_temp,mavg_15_humidity
4/21/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',3063,3195,16.29,16.99,10.2,66.56,8.87,51.86,10.22,55.64
4/22/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',3447,3133,18.33,16.66,6.25,37.42,8.54,54.27,10.04,55.98
4/23/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',2841,3035,15.11,16.14,6.89,37.79,8.18,53.24,9.53,56.1
4/24/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',2535,2885,13.48,15.34,7.35,85.29,8.07,53.07,9.06,54.11
4/25/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',1595,2803,8.48,14.91,10.68,70.42,8.31,58.31,8.82,54.66
4/26/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',1003,2611,5.33,13.89,9.08,75.74,8.89,56.6,9.07,55.79
4/27/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',2289,2396,12.17,12.74,6.84,78.69,8.89,60.03,9.17,58.23
4/28/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',2727,2348,14.5,12.49,10.25,57.79,8.18,64.56,8.91,60.22
4/29/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',2340,2190,12.44,11.65,10.78,74.04,8.19,63.31,8.64,58.18
4/30/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',2022,2073,10.75,11.02,11.9,84.81,8.84,68.54,8.53,59.81
5/1/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',1887,1980,10.04,10.53,13.85,88.7,9.55,75.25,8.74,62.48
5/2/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',1058,1904,5.63,10.13,16.6,47.75,10.48,75.74,9.15,65.8
5/3/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',787,1873,4.19,9.96,18.88,55.46,11.33,72.5,9.88,65.74
5/4/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',1550,1767,8.24,9.4,18.86,45,12.73,69.61,10.69,63.95
5/5/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',1513,1594,8.05,8.48,11.8,39.54,14.45,64.79,11.35,63.49
5/6/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',1398,1459,7.43,7.76,10.57,59.29,14.67,62.19,11.35,63
5/7/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',1239,1347,6.59,7.16,12.03,54.04,14.64,60.08,11.37,62.52
5/8/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',1081,1232,5.75,6.55,11.26,48.79,14.66,55.68,11.76,63.62
5/9/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',657,1175,3.49,6.25,5.15,58.58,14.29,49.98,12.05,64.36
5/10/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',457,1128,2.43,6,9.42,44.42,12.65,51.53,11.9,62.58
5/11/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',1231,1082,6.55,5.75,12.26,59.88,11.3,49.95,11.82,60.84
5/12/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',1285,1050,6.83,5.58,10.31,44.58,10.36,52.08,12.03,59.79
5/13/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',1334,1041,7.09,5.54,11.29,36.33,10.14,52.8,12.26,57.51
5/14/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',1110,1022,5.9,5.44,13.29,49.38,10.25,49.52,12.33,56.08
5/15/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',873,992,4.64,5.28,20.42,64.29,10.43,48.85,12.5,54.44
5/16/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',485,968,2.58,5.15,21.88,57.04,11.73,51.07,13.07,53.07
5/17/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',360,954,1.91,5.07,16,58.54,14.12,50.85,13.6,50.96
5/18/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',895,906,4.76,4.82,15.34,61.62,15.06,52.86,13.56,51.68
5/19/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',1003,866,5.33,4.61,15.82,51,15.5,53.11,13.33,52.09
5/20/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',1077,829,5.73,4.41,13.64,47.46,16.29,54.03,13.12,52.49
5/21/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',1069,823,5.68,4.38,12.87,60.62,16.63,55.62,13.25,53.02
5/22/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',1037,847,5.51,4.5,16.64,74.44,16.57,57.22,13.4,53.1
5/23/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',456,842,2.43,4.48,17.19,91.86,16.03,58.67,13.71,54.46
5/24/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',467,858,2.48,4.56,14.67,65.12,15.36,63.65,14.1,57.34
5/25/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',465,796,2.47,4.23,16.24,75.71,15.17,64.59,14.74,57.77
5/26/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',1053,803,5.6,4.27,18.04,81.88,15.3,66.6,15.19,59.86
5/27/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',744,756,3.96,4.02,18.79,80.5,15.61,71.01,15.58,61.32
5/28/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',646,695,3.44,3.7,19.75,86.54,16.35,75.73,16.14,63.72
5/29/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',642,639,3.41,3.4,22.15,82.29,17.33,79.44,16.71,67.07
5/30/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',348,624,1.85,3.32,22.93,65.38,18.12,80.56,17.3,69.26
5/31/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',230,590,1.22,3.14,19.1,42.17,18.94,76.77,17.46,69.33
6/1/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',686,621,3.65,3.3,16.04,40.38,19.57,73.5,17.28,68.34
6/2/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',572,553,3.04,2.94,18.56,47.25,19.54,68.45,17.28,67.13
6/3/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',514,520,2.73,2.77,20.53,70.73,19.62,63.5,17.5,66.17
6/4/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',523,502,2.78,2.67,23.69,70.21,19.87,62.11,17.81,67.49
6/5/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',403,468,2.14,2.49,22.86,79.64,20.43,59.77,18.48,69.01
6/6/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',247,454,1.31,2.41,24.5,80.4,20.53,59.39,19.15,70.27
6/7/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',197,449,1.05,2.39,22.34,42.96,20.75,61.54,19.67,70.67
6/8/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',450,415,2.39,2.21,21.09,42.75,21.22,61.65,20.01,67.41
6/9/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',421,394,2.24,2.1,23.99,52.79,21.94,61.99,20.44,65.92
6/10/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',365,372,1.94,1.98,25.38,62.21,22.71,62.78,20.96,64.39
6/11/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',365,350,1.94,1.86,23.78,81.63,23.41,61.57,21.45,63.08
6/12/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',410,351,2.18,1.87,24.78,63.62,23.42,63.2,21.78,63.16
6/13/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',196,343,1.04,1.82,21.16,44.25,23.69,60.91,22.11,61.63
6/14/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',180,341,0.96,1.81,17.75,47.21,23.22,55.74,22.05,59.09
6/15/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',381,331,2.03,1.76,19.01,59.46,22.56,56.35,21.7,57.88
6/16/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',420,331,2.23,1.76,19.57,59.79,22.26,58.74,21.7,59.03
6/17/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',356,330,1.89,1.75,20.13,65.17,21.63,59.74,21.93,60.33
6/18/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',378,332,2.01,1.77,20.51,82.33,20.88,60.16,22.04,61.52
6/19/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',362,325,1.93,1.73,22.07,78.96,20.42,60.26,22.04,62.29
6/20/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',203,326,1.08,1.73,24.01,71.67,20.03,62.45,21.93,62.88
6/21/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',172,325,0.91,1.73,24.48,71.12,20.44,66.37,22,62.35
6/22/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',402,328,2.14,1.74,26.32,68.12,21.4,69.79,22,61.73
6/23/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',382,322,2.03,1.71,26.12,69.38,22.44,71.02,22.27,63.41
6/24/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',381,326,2.03,1.73,26.12,66,23.38,72.39,22.6,65.18
6/25/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',299,314,1.59,1.67,25.58,49.88,24.23,72.51,22.75,66.06
6/26/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',316,308,1.68,1.64,25.04,60.33,24.96,67.88,22.76,65.24
6/27/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',206,308,1.1,1.64,24.64,65.67,25.38,65.21,22.84,63.82
6/28/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',202,313,1.07,1.66,26.19,75.76,25.47,64.36,22.83,63.96
6/29/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',437,318,2.32,1.69,25.4,68.12,25.72,65.02,23.17,66.06
6/30/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',442,326,2.35,1.73,22.82,72.83,25.58,65.02,23.68,67.45
7/1/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',396,328,2.11,1.74,22.59,77.92,25.11,65.51,23.93,68.34
7/2/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',416,345,2.21,1.83,25.68,66.79,24.61,67.22,24.13,69.55
7/3/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',235,333,1.25,1.77,28.53,56.46,24.62,69.63,24.5,69.66
7/4/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',120,321,0.64,1.71,23.95,77.33,25.12,69.08,25.04,67.93
7/5/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',154,314,0.82,1.67,26.41,69.88,25.02,70.74,25.16,67.83
7/6/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',434,314,2.31,1.67,27.23,65.12,25.05,69.9,25.32,67.71
7/7/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',461,317,2.45,1.69,24.08,79.75,25.32,69.48,25.51,67.31
7/8/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',437,322,2.32,1.71,25.81,80,25.5,70.46,25.36,68.08
7/9/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',393,319,2.09,1.7,26.52,76.83,25.96,70.76,25.34,68.79
7/10/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',307,329,1.63,1.75,24.25,89.7,26.08,72.2,25.36,69.51
7/11/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',259,349,1.38,1.86,25.17,84.72,25.46,76.94,25.28,72.17
7/12/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',224,359,1.19,1.91,26.59,65.08,25.64,78,25.28,73.79
7/13/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',483,366,2.57,1.95,26.85,61.83,25.66,77.31,25.41,73.75
7/14/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',403,358,2.14,1.9,26.15,54.29,25.61,76.84,25.46,72.82
7/15/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',439,358,2.33,1.9,24.63,66.92,25.91,73.21,25.51,71.9
7/16/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',413,361,2.2,1.92,22.99,67.83,25.74,71.34,25.63,71.51
7/17/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',417,377,2.22,2,23.42,74.96,25.23,70.05,25.66,70.84
7/18/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',216,371,1.15,1.97,27.52,66.58,25.11,67.95,25.51,71.38
7/19/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',176,364,0.94,1.94,29.01,65.5,25.45,65.36,25.44,72.05
7/20/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',402,352,2.14,1.87,30.42,65.38,25.8,65.42,25.78,71.27
7/21/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',340,343,1.81,1.82,29.63,52.04,26.31,65.92,26.04,70.97
7/22/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',330,328,1.75,1.74,28.21,73.73,26.8,65.6,26.2,70.09
7/23/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',308,313,1.64,1.66,25.79,83.23,27.31,66.57,26.48,69.69
7/24/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',300,296,1.6,1.57,25.28,82.58,27.71,68.77,26.48,69.91
7/25/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',153,287,0.81,1.53,26.5,74.83,27.98,69.86,26.39,70.29
7/26/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',140,282,0.74,1.5,28.97,65.21,27.83,71.04,26.54,69.3
7/27/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',314,269,1.67,1.43,29.99,52.71,27.83,71,26.8,68
7/28/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',315,266,1.68,1.41,30.42,61.88,27.77,69.19,27.02,67.17
7/29/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',289,260,1.54,1.38,28.59,61.21,27.88,70.6,27.26,67.18
7/30/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',274,255,1.46,1.36,28.83,57.46,27.93,68.81,27.42,67.64
